issueSymbolIdentifier,settlementDate,issueName,marketCategoryCode,marketCategoryDescription,currentShortShareNumber,previousShortShareNumber,changePercent,percentageChangefromPreviousShort,averageShortShareNumber,daysToCoverNumber
AAALY,15-08-2024,Aareal Bank AG Unsponsored Ame,U,Other OTC,2,2,0.00,0,0,999.99
AABB,15-08-2024,Asia Broadband Inc Common Stoc,U,Other OTC,135611,1550761,-91.26,-1415150,37540046,1.00
AABKF,15-08-2024,AAREAL BANK AG NAMENS AKTIEN O,U,Other OTC,15,15,0.00,0,0,999.99
AABVF,15-08-2024,Aberdeen International Inc Ord,U,Other OTC,401,2376,-83.12,-1975,7905,1.00
AACAF,15-08-2024,AAC Technologies Holdings Inc,U,Other OTC,1130168,2569170,-56.01,-1439002,42,999.99
AACAY,15-08-2024,AAC Technologies Holdings Inc,U,Other OTC,3235,3432,-5.74,-197,6135,1.00
AAFRF,15-08-2024,Airtel Africa Plc Ordinary Sha,U,Other OTC,104155,108987,-4.43,-4832,4395,23.70
AAGC,15-08-2024,All American Gold Corp. Common,U,Other OTC,42300,172636,-75.50,-130336,20059525,1.00
AAGFF,15-08-2024,Aftermath Silver Ltd Ordinary,U,Other OTC,14202,12959,9.59,1243,633720,1.00
AAGIY,15-08-2024,"AIA Group, Ltd. Sponsored Amer",U,Other OTC,128501,126660,1.45,1841,1209137,1.00
AAGRY,15-08-2024,Astra Agro Lestari TBK PT Unsp,U,Other OTC,607,607,0.00,0,0,999.99
AAHIF,15-08-2024,Asahi Co Ltd Osaka Ordinary Sh,U,Other OTC,15763,16663,-5.40,-900,0,999.99
AAIGF,15-08-2024,"AIA Group, Ltd. Ordinary Share",U,Other OTC,5411781,7993908,-32.30,-2582127,425344,12.72
AAIRF,15-08-2024,AMERICAN AIRES INC COM NEW (Ca,U,Other OTC,54445,2235,2336.02,52210,1826286,1.00
AALBF,15-08-2024,Aalberts Industries NV Ordinar,U,Other OTC,301071,292152,3.05,8919,487,618.22
AAMAF,15-08-2024,Atlas Mara Co Nvest Ltd. Ordin,U,Other OTC,53999,53999,0.00,0,0,999.99
AAMTF,15-08-2024,Armada Mercantile Ltd Ordinary,U,Other OTC,1107,1107,0.00,0,636,1.74
AANNF,15-08-2024,Aroundtown SA Ordinary Shares,U,Other OTC,11866069,11514088,3.06,351981,273,999.99
AAPJ,15-08-2024,"AAP, Inc. Common Stock",U,Other OTC,50000,0,100.00,50000,134453934,1.00
AARTY,15-08-2024,AIRTEL AFRICA PLC American Dep,U,Other OTC,77,0,100.00,77,27,2.85
AASP,15-08-2024,Global Acquisitions Corporatio,U,Other OTC,109,109,0.00,0,1537,1.00
